Source,Target
SML_St,I_23
SML_St,I_21
SML_St,I_24
SML_St,I_26
SML_St,SML_Dr
SML_Dr,Bulky_1
SML_Dr,SML_St
SML_Dr,I_26
SML_Dr,I_24
Bulky_1,SML_Dr
Bulky_1,Bulky_2
Bulky_2,I_17
Bulky_2,Bulky_1
I_17,I_18
I_17,I_13
I_13,I_14
I_14,I_15
I_14,I_18
I_14,I_19
I_15,I_14
I_15,I_18
I_15,I_19
I_15,EG_L1
I_18,I_17
I_18,I_23
I_18,I_14
I_18,I_15
I_18,I_23
I_18,I_21
I_19,I_15
I_19,EG_R1
I_19,TR10
I_19,I_21
I_19,I_23
I_19,I_18
I_19,I_14
I_26,SML_Dr
I_24,SML_Dr
I_21,I_19
I_21,I_24
I_21,SML_St
I_21,I_23
I_21,I_18
I_23,I_18
I_23,I_19
I_23,I_21
I_23,I_24
I_23,SML_St
I_24,I_21
I_24,FL9
I_24,I_26
I_24,SML_Dr
I_24,SML_St
I_24,I_23
I_26,I_24
I_26,I_27
I_26,SML_Dr
I_26,SML_St
I_27,I_25
I_27,I_26
I_27,AC_B
AC_B,I_27
AC_B,I_25
I_25,I_22
I_25,AC_B
I_25,I_27
I_25,FL1
I_22,I_20
I_22,I_26
I_22,FR1
I_22,TL1
I_20,I_16
I_20,I_22
I_20,TR1
I_20,CR7
I_16,I_12
I_16,I_20
I_12,T0
I_12,I_16
T0,I_12
TR1,TR2
TR2,TR3
TR3,TR4
TR4,TR5
TR5,TR6
TR6,TR7
TR7,TR8
TR8,TR9
TR9,TR10
TR10,I_19
TL1,TL2
TL2,TL3
TL3,TL4
TL4,TL5
TL5,TL6
TL6,TL7
TL7,TL8
TL8,TL9
TL9,TL10
TL10,I_21
EG_R1,EG_R2
EG_R2,EG_R3
EG_R3,CR1
CR1,CR2
CR2,CR3
CR3,CR4
CR4,CR5
CR5,CR6
CR6,CR7
CR7,I_20
EG_L1,EG_L2
EG_L2,EG_L3
EG_L3,CL1
CL1,CL2
CL2,CL3
CL3,CL4
CL4,CL5
CL5,CL6
CL6,CL7
CL7,I_16
FR1,FR2
FR2,FR3
FR3,FR4
FR4,FR5
FR5,FR6
FR6,FR7
FR7,FR8
FR8,FR9
FR9,I_21
FL1,FL2
FL2,FL3
FL3,FL4
FL4,FL5
FL5,FL6
FL6,FL7
FL7,FL8
FL8,FL9
FL9,I_24
