Node,X,Y
SML_St,-35137,26309
SML_Dr,-50638,16703
Bulky_1,-62735,31813
Bulky_2,-79856,49808
T0,82960,82536
TR1,52797,54306
TR2,47282,54306
TR3,41767,54306
TR4,36252,54306
TR5,30737,54306
TR6,25222,54306
TR7,19707,54306
TR8,14192,54306
TR9,8677,54306
TR10,3162,54306
TL1,52797,45580
TL2,47282,45580
TL3,41767,45580
TL4,36252,45580
TL5,30737,45580
TL6,25222,45580
TL7,19707,45580
TL8,14192,45580
TL9,8677,45580
TL10,3162,45580
EG_R1,-6947,59028
EG_R2,-1432,59028
EG_R3,4082,59028
EG_L1,-6947,66370
EG_L2,-1432,66370
EG_L3,4082,66370
CL1,9597,66370
CL2,15112,66370
CL3,20627,66370
CL4,26142,66370
CL5,31657,66370
CL6,37172,66370
CL7,42687,66370
CR1,9597,59028
CR2,15112,59028
CR3,20627,59028
CR4,26142,59028
CR5,31657,59028
CR6,37172,59028
CR7,42687,59028
FR1,52553,39808
FR2,46853,39808
FR3,41153,39808
FR4,35493,39808
FR5,29753,39808
FR6,24053,39808
FR7,18353,39808
FR8,12653,39808
FR9,6953,39808
FL1,52553,33133
FL2,46853,33133
FL3,41153,33133
FL4,35493,33133
FL5,29753,33133
FL6,24053,33133
FL7,18353,33133
FL8,12653,33133
FL9,6953,33133
AC_B,136979,25160
I_12,77342,78314
I_13,-62409,66862
I_14,-37989,67279
I_15,-26804,68605
I_16,77302,68303
I_17,-62485,56967
I_18,-37611,56360
I_19,-26501,55527
I_20,77978,56014
I_21,-26418,43201
I_22,77947,42021
I_23,-38286,41412
I_24,-27859,29930
I_25,77794,30150
I_26,-24749,15251
I_27,80493,14808
